fixture,pattern,stage,samples_each,baseline_p50_ms,baseline_p95_ms,baseline_max_ms,candidate_p50_ms,candidate_p95_ms,candidate_max_ms,budget_ms,timing_pass,baseline_allocation_p95,candidate_allocation_p95
D131072,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,166987304,165413824
F131072,ONE,edit,60,0.009219,0.010625,0.034044,0.010988,0.017563,0.195126,1.010625,True,72,72
F131072,ONE,capture,60,596.872676,689.210703,741.610845,2.267679,2.917695,22.55556,861.51337875,True,3670304,5243208
F131072,ONE,reconcile,60,3479.930753,4412.209761,4714.163872,106.893686,153.4873,157.677768,5515.26220125,True,45563216,41856512
F131072,ONE,publish,60,0.015094,0.018096,0.064979,0.013697,0.023823,0.165115,1.018096,True,0,0
F131072,ONE,coverage_snapshot,60,0.001303,0.001808,0.002419,0.001181,0.001652,0.013704,1.001808,True,0,0
F131072,ONE,coverage_encode,60,1.92938,2.269339,2.644614,2.156808,2.767536,5.070632,3.269339,True,1573760,1573760
F131072,ONE,objects_encode,60,29.968526,33.941047,39.061408,30.439213,32.5325,35.666989,42.42630875,True,32417568,32417568
F131072,ONE,objects_decode,60,1450.393292,1773.333875,1833.019634,35.569814,77.153043,84.832821,2216.66734375,True,62456928,58783072
F131072,ONE,TOTAL_ALLOCATED,60,,,,,,,,,145681464,139873128
F131072,BURST64,edit,60,0.088358,0.206587,0.226154,0.085613,0.146094,0.316087,1.206587,True,27768,27768
F131072,BURST64,capture,60,579.685098,673.540878,763.780423,2.258724,3.0109,55.013361,841.9260975,True,3673688,5245784
F131072,BURST64,reconcile,60,3592.308197,4176.737706,5049.517396,106.81011,136.990616,153.561313,5220.9221325,True,45552320,41846352
F131072,BURST64,publish,60,0.012455,0.014555,0.12106,0.011251,0.012988,0.015702,1.014555,True,0,0
F131072,BURST64,coverage_snapshot,60,0.864289,1.11944,1.587397,0.805236,1.580449,2.00091,2.11944,True,1048664,1048664
F131072,BURST64,coverage_encode,60,1.931248,2.365042,2.873642,1.890115,2.336317,2.670927,3.365042,True,1573760,1573760
F131072,BURST64,objects_encode,60,29.993247,33.801916,39.380493,29.466497,33.576987,38.272249,42.252395,True,32411104,32411104
F131072,BURST64,objects_decode,60,1461.021997,1607.073784,1714.71195,34.865156,81.854263,110.646239,2008.84223,True,62429696,58756992
F131072,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,146717000,140909704
