fixture,pattern,stage,samples_each,baseline_p50_ms,baseline_p95_ms,baseline_max_ms,candidate_p50_ms,candidate_p95_ms,candidate_max_ms,budget_ms,timing_pass,baseline_allocation_p95,candidate_allocation_p95
D131072,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,166987304,142214736
F131072,ONE,edit,60,0.009219,0.010625,0.034044,0.005326,0.006203,0.006289,1.010625,True,72,72
F131072,ONE,capture,60,596.872676,689.210703,741.610845,2.249185,2.668639,11.760855,861.51337875,True,3670304,5243208
F131072,ONE,reconcile,60,3479.930753,4412.209761,4714.163872,102.430939,127.488508,169.92223,5515.26220125,True,45563216,41856896
F131072,ONE,publish,60,0.015094,0.018096,0.064979,0.013376,0.023708,0.243371,1.018096,True,0,0
F131072,ONE,coverage_snapshot,60,0.001303,0.001808,0.002419,0.001206,0.001713,0.00208,1.001808,True,0,0
F131072,ONE,coverage_encode,60,1.92938,2.269339,2.644614,0.109297,0.14806,39.018686,3.269339,True,1573760,1572928
F131072,ONE,objects_encode,60,29.968526,33.941047,39.061408,20.633768,22.476074,32.322699,42.42630875,True,32417568,8381672
F131072,ONE,objects_decode,60,1450.393292,1773.333875,1833.019634,36.001793,77.383164,91.013148,2216.66734375,True,62456928,58783504
F131072,ONE,TOTAL_ALLOCATED,60,,,,,,,,,145681464,115836632
F131072,BURST64,edit,60,0.088358,0.206587,0.226154,0.082665,0.139579,0.146619,1.206587,True,27768,27768
F131072,BURST64,capture,60,579.685098,673.540878,763.780423,2.604266,2.951621,3.272645,841.9260975,True,3673688,5245784
F131072,BURST64,reconcile,60,3592.308197,4176.737706,5049.517396,104.525063,130.007838,160.513803,5220.9221325,True,45552320,41846712
F131072,BURST64,publish,60,0.012455,0.014555,0.12106,0.010992,0.012243,0.012649,1.014555,True,0,0
F131072,BURST64,coverage_snapshot,60,0.864289,1.11944,1.587397,0.80264,0.866684,0.947414,2.11944,True,1048664,1048664
F131072,BURST64,coverage_encode,60,1.931248,2.365042,2.873642,1.396628,1.755841,24.747417,3.365042,True,1573760,3146656
F131072,BURST64,objects_encode,60,29.993247,33.801916,39.380493,20.336417,29.397499,79.783858,42.252395,True,32411104,8376968
F131072,BURST64,objects_decode,60,1461.021997,1607.073784,1714.71195,34.640176,76.19625,84.88385,2008.84223,True,62429696,58756632
F131072,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,146717000,118448272
