fixture,pattern,stage,samples_each,baseline_p50_ms,baseline_p95_ms,baseline_max_ms,candidate_p50_ms,candidate_p95_ms,candidate_max_ms,budget_ms,timing_pass,baseline_allocation_p95,candidate_allocation_p95
D131072,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,166987304,142214768
F131072,ONE,edit,60,0.009219,0.010625,0.034044,0.005506,0.006562,0.018049,1.010625,True,72,72
F131072,ONE,capture,60,596.872676,689.210703,741.610845,2.491583,2.883894,21.86622,861.51337875,True,3670304,5243208
F131072,ONE,reconcile,60,3479.930753,4412.209761,4714.163872,98.337337,130.805514,155.008179,5515.26220125,True,45563216,41857592
F131072,ONE,publish,60,0.015094,0.018096,0.064979,0.013534,0.015226,0.026243,1.018096,True,0,0
F131072,ONE,coverage_snapshot,60,0.001303,0.001808,0.002419,0.001274,0.001753,0.009834,1.001808,True,0,0
F131072,ONE,coverage_encode,60,1.92938,2.269339,2.644614,0.107173,0.141303,0.219742,3.269339,True,1573760,1572928
F131072,ONE,objects_encode,60,29.968526,33.941047,39.061408,20.612478,24.423311,28.20412,42.42630875,True,32417568,8381696
F131072,ONE,objects_decode,60,1450.393292,1773.333875,1833.019634,35.251515,84.644272,119.673421,2216.66734375,True,62456928,58784384
F131072,ONE,TOTAL_ALLOCATED,60,,,,,,,,,145681464,115837616
F131072,BURST64,edit,60,0.088358,0.206587,0.226154,0.081816,0.140905,0.221192,1.206587,True,27768,27768
F131072,BURST64,capture,60,579.685098,673.540878,763.780423,2.470992,2.900791,3.474349,841.9260975,True,3673688,5245784
F131072,BURST64,reconcile,60,3592.308197,4176.737706,5049.517396,105.670236,160.084583,166.519596,5220.9221325,True,45552320,41846664
F131072,BURST64,publish,60,0.012455,0.014555,0.12106,0.011822,0.013606,0.038818,1.014555,True,0,0
F131072,BURST64,coverage_snapshot,60,0.864289,1.11944,1.587397,0.819745,1.42454,1.937287,2.11944,True,1048664,1048664
F131072,BURST64,coverage_encode,60,1.931248,2.365042,2.873642,2.007521,2.505156,5.642526,3.365042,True,1573760,3146688
F131072,BURST64,objects_encode,60,29.993247,33.801916,39.380493,20.676036,23.013449,24.940819,42.252395,True,32411104,8376992
F131072,BURST64,objects_decode,60,1461.021997,1607.073784,1714.71195,35.849651,74.846549,80.395569,2008.84223,True,62429696,58756944
F131072,BURST64,TOTAL_ALLOCATED,60,,,,,,,,,146717000,118448784
